chr	start_promoter	end_promoter	strand	gene_name
chr1	67091	71091	+	OR4F5
chr1	137379	141379	-	AL627309.1
chr1	365640	369640	+	OR4F29
chr1	620053	624053	-	OR4F16
chr1	737137	741137	-	AL669831.1
chr1	816043	820043	+	AL645608.2
chr1	858260	862260	+	SAMD11
chr1	864445	868445	-	AL645608.1
chr1	892689	896689	-	NOC2L
chr1	893967	897967	+	KLHL17
chr1	899877	903877	+	PLEKHN1
chr1	915497	919497	-	C1orf170
chr1	933552	937552	-	HES4
chr1	946803	950803	+	ISG15
chr1	953503	957503	+	AGRN
chr1	1007687	1011687	-	RNF223
chr1	1049741	1053741	-	C1orf159
chr1	1107264	1111264	+	TTLL10
chr1	1140071	1144071	-	TNFRSF18
chr1	1147518	1151518	-	TNFRSF4
chr1	1165411	1169411	-	SDF4
chr1	1165629	1169629	+	B3GALT6
chr1	1180102	1184102	-	FAM132A
chr1	1207265	1211265	-	UBE2J2
chr1	1213816	1217816	+	SCNN1D
chr1	1242989	1246989	-	ACAP3
chr1	1241947	1245947	+	PUSL1
chr1	1258071	1262071	-	CPSF3L
chr1	1258136	1262136	+	GLTPD1
chr1	1264694	1268694	+	TAS1R3
chr1	1282730	1286730	-	DVL1
chr1	1295157	1299157	-	MXRA8
chr1	1308875	1312875	-	AURKAIP1
chr1	1332708	1336708	-	CCNL2
chr1	1332902	1336902	+	RP4-758J18.2
chr1	1340693	1344693	-	MRPL20
chr1	1355149	1359149	-	ANKRD65
chr1	1359508	1363508	+	TMEM88B
chr1	1368241	1372241	+	VWA1
chr1	1383069	1387069	+	ATAD3C
chr1	1405143	1409143	+	ATAD3B
chr1	1445531	1449531	+	ATAD3A
chr1	1473833	1477833	-	TMEM240
chr1	1508249	1512249	-	SSU72
chr1	1508355	1512355	+	AL645728.1
chr1	1533476	1537476	-	C1orf233
chr1	1548795	1552795	+	MIB2
chr1	1565474	1569474	+	MMP23B
chr1	1588473	1592473	-	CDK11B
chr1	1622167	1626167	-	SLC35E2B
chr1	1653766	1657766	-	CDK11A
chr1	1675431	1679431	-	SLC35E2
chr1	1709896	1713896	-	NADK
chr1	1820495	1824495	-	GNB1
chr1	1844266	1848266	+	CALML6
chr1	1848712	1852712	-	TMEM52
chr1	1933276	1937276	-	C1orf222
chr1	1948780	1952780	+	GABRD
chr1	1979909	1983909	+	PRKCZ
chr1	2142159	2146159	-	C1orf86
chr1	2119237	2123237	+	AL590822.2
chr1	2143620	2147620	-	AL590822.1
chr1	2158134	2162134	+	SKI
chr1	2321146	2325146	-	MORN1
chr1	2256581	2260581	+	AL589739.1
chr1	2321267	2325267	+	RER1
chr1	2343236	2347236	-	PEX10
chr1	2355419	2359419	+	PLCH2
chr1	2456039	2460039	-	PANK4
chr1	2459684	2463684	-	HES5
chr1	2485078	2489078	+	TNFRSF14
chr1	2515930	2519930	+	FAM213B
chr1	2562481	2566481	-	MMEL1
chr1	2716286	2720286	-	TTC34
chr1	2936046	2940046	+	ACTRT2
chr1	2983732	2987732	+	PRDM16
chr1	3368990	3372990	+	ARHGEF16
chr1	3526059	3530059	-	MEGF6
chr1	3539566	3543566	+	TPRG1L
chr1	3567325	3571325	-	WRAP73
chr1	3567084	3571084	+	TP73
chr1	3666962	3670962	+	CCDC27
chr1	3687352	3691352	+	SMIM1
chr1	3711068	3715068	-	LRRC47
chr1	3771778	3775778	-	CEP104
chr1	3771845	3775845	+	DFFB
chr1	3814857	3818857	-	C1orf174
chr1	4712792	4716792	+	AJAP1
chr1	6050533	6054533	-	NPHP4
chr1	6049526	6053526	+	KCNAB2
chr1	6099399	6103399	-	AL035406.1
chr1	6238183	6242183	-	CHD5
chr1	6267449	6271449	-	RPL22
chr1	6263535	6267535	+	RNF207
chr1	6294032	6298032	-	ICMT
chr1	6302252	6306252	+	HES3
chr1	6319035	6323035	-	GPR153
chr1	6452451	6456451	-	ACOT7
chr1	6482730	6486730	-	HES2
chr1	6482848	6486848	+	ESPN
chr1	6524255	6528255	-	TNFRSF25
chr1	6578121	6582121	-	PLEKHG5
chr1	6612595	6616595	-	NOL9
chr1	6613241	6617241	+	TAS1R1
chr1	6638061	6642061	+	ZBTB48
chr1	6672667	6676667	-	KLHL21
chr1	6671745	6675745	+	PHF13
chr1	6682926	6686926	+	THAP3
chr1	6759984	6763984	-	DNAJC11
chr1	6843384	6847384	+	CAMTA1
chr1	7829329	7833329	+	VAMP3
chr1	7842380	7846380	+	PER3
chr1	7911572	7915572	-	UTS2
chr1	7998926	8002926	-	TNFRSF9
chr1	8012351	8016351	+	PARK7
chr1	8084368	8088368	-	ERRFI1
chr1	8375886	8379886	+	SLC45A1
chr1	8875702	8879702	-	RERE
chr1	8937308	8941308	-	ENO1
chr1	9003926	9007926	+	CA6
chr1	9084404	9088404	-	SLC2A7
chr1	9146537	9150537	-	SLC2A5
chr1	9187229	9191229	-	GPR157
chr1	9292834	9296834	+	H6PD
chr1	9350939	9354939	+	SPSB1
chr1	9597541	9601541	+	SLC25A33
chr1	9646932	9650932	+	TMEM201
chr1	9709790	9713790	+	PIK3CD
chr1	9712644	9716644	-	C1orf200
chr1	9882584	9886584	-	CLSTN1
chr1	9968394	9972394	-	CTNNBIP1
chr1	10001465	10005465	-	LZIC
chr1	10001486	10005486	+	NMNAT1
chr1	10055264	10059264	+	RBP7
chr1	10090890	10094890	+	UBE4B
chr1	10268863	10272863	+	KIF1B
chr1	10456649	10460649	+	PGD
chr1	10488159	10492159	+	APITD1
chr1	10488159	10492159	+	APITD1-CORT
chr1	10507776	10511776	+	CORT
chr1	10530583	10534583	-	DFFA
chr1	10530345	10534345	+	PEX14
chr1	10854707	10858707	-	CASZ1
chr1	11040094	11044094	-	C1orf127
chr1	11070414	11074414	+	TARDBP
chr1	11105290	11109290	-	MASP2
chr1	11118081	11122081	-	SRM
chr1	11157938	11161938	-	EXOSC10
chr1	11320564	11324564	-	MTOR
chr1	11247398	11251398	+	ANGPTL7
chr1	11331263	11335263	+	UBIAD1
chr1	11537223	11541223	+	PTCHD2
chr1	11713842	11717842	-	FBXO2
chr1	11712432	11716432	+	FBXO44
chr1	11722181	11726181	+	FBXO6
chr1	11749707	11753707	-	MAD2L2
chr1	11749786	11753786	+	DRAXIN
chr1	11794141	11798141	+	AGTRAP
chr1	11819844	11823844	+	C1orf167
chr1	11864977	11868977	-	MTHFR
chr1	11864207	11868207	+	CLCN6
chr1	11906402	11910402	-	NPPA
chr1	11916988	11920988	-	NPPB
chr1	11984485	11988485	-	KIAA2013
chr1	11992262	11996262	+	PLOD1
